,filename,par1,par2,par3,par4,par5,total
0,E (1).jpg,1.0078963959020864,1.1679515956807376,1.4222002494683637,1.4875518540053527,1.2235277456047338,6.309127840661274
1,E (10).jpg,1.0483379579183774,1.1460276219816117,1.5339299776947408,1.5384615384615385,1.1979166666666665,6.464673762722935
2,E (2).jpg,1.2497807786724637,1.0228267187770836,1.4845274184234374,1.568634020881252,1.2214138049356027,6.547182741689839
3,E (3).jpg,1.1515537386888839,1.1704114719613057,1.3270154395881428,1.3339652333827814,1.251247380811333,6.234193264432447
4,E (4).jpg,1.0520021098151704,1.350539548159991,1.4666435564519504,1.4529345171131116,1.2221959961101925,6.5443157276504165
5,E (5).jpg,1.1401510891563136,1.6480624155916501,1.4409963873082037,1.4853450777512949,1.2932830335066807,7.007838003314143
6,E (6).jpg,1.1549110912304958,1.3971399357258383,1.4163943093313291,1.3647212841386656,1.4634015572108219,6.796568177637151
7,E (7).jpg,1.1264801700121494,1.1862127093046912,1.2924030628468406,1.2199700194058158,1.1829745211114684,6.008040482680966
8,E (8).jpg,1.1850908865466951,1.1391755403077024,1.4792793496395882,1.4983078862648316,1.1378574698547448,6.439711132613563
9,E (9).jpg,1.2144664626577955,0.8923803982541523,1.4000989737367355,1.3487464612434295,1.0307637461290902,5.886456042021203
10,W (1).jpg,1.0514759434961112,1.3304393881410912,1.3060093327991538,1.3023286979574136,1.4565006799755469,6.446754042369317
11,W (10).jpg,0.9509243942553929,1.1819003785233648,1.5184334835291398,1.4843195954125123,1.360823040461287,6.496400892181697
12,W (11).jpg,1.1889277816894486,1.0043024705208317,1.4231947526751845,1.3970453883479053,1.4222214232397465,6.435691816473116
13,W (12).jpg,1.0,1.1993388983533588,1.3235096721781041,1.3883882242197754,1.2809938268493841,6.192230621600622
14,W (2).jpg,1.0308547176471572,1.0298550724546816,1.6534645306532707,1.7204650534085255,1.4298910499174915,6.864530424081126
15,W (3).jpg,1.0643031626407902,1.079202576299761,1.4244674000720572,1.455882754412111,1.5695460981616134,6.593401991586333
16,W (4).jpg,0.953888293435939,1.23504940941721,1.4265969054528491,1.442648058866286,1.4571426610098364,6.51532532818212
17,W (5).jpg,1.001997453517742,1.1017221250815605,1.4627683220027472,1.5023295888385266,1.3390560511001888,6.4078735405407645
18,W (6).jpg,1.0360988553989903,1.1968818603254567,1.306709699145788,1.4095326606201122,1.46758247429138,6.416805549781727
19,W (7).jpg,1.114307901239793,1.2567836890611472,1.544029281606761,1.5653239794443068,1.3534262958666106,6.833871147218618
20,W (8).jpg,1.2135803051825198,1.0384115498662563,1.5231195849590986,1.5258362094452176,1.2759367243430482,6.57688437379614
21,W (9).jpg,0.991127237915027,1.0691306655631507,1.5192824550037403,1.4576839063198888,1.4119708058610043,6.44919507066281
